Filename;Time (Seconds)
pyquiz_2012-03_thp8_dict.stats;2.860000
pyquiz_2012-03_thp9_cute.stats;3.593000
pyquiz_2012-03_thp.stats;15.376000
pyquiz_2012-03_thp_golf_precomputed.stats;18.777000
pyquiz_2012-03_thp_golf.stats;23.620000
pyquiz_2012-03_thp2.stats;24.205000
pyquiz_2012-03_thp3_py3.stats;25.034000
pyquiz_2012-03_thp3_commented.stats;25.066000
pyquiz_2012-03_thp3_py3_golf.stats;25.289000
pyquiz_2012-03_thp3.stats;25.401000
pyquiz_2012-03_thp4_golf.stats;30.206000
pyquiz_2012-03_thp4_commented.stats;31.100000
pyquiz_2012-03_thp4.stats;45.649000
pyquiz_2012-03_thp7_golf.stats;50.684000
pyquiz_2012-03_thp6_golf_py3.stats;66.730000
pyquiz_2012-03_thp5_golf.stats;67.697000
pyquiz_2012-03_thp6_golf.stats;67.851000
