Filename;Calls
pyquiz_2012-03_thp.stats;105
pyquiz_2012-03_thp2.stats;129
pyquiz_2012-03_thp3_commented.stats;138
pyquiz_2012-03_thp3_py3.stats;138
pyquiz_2012-03_thp3_py3_golf.stats;138
pyquiz_2012-03_thp3.stats;138
pyquiz_2012-03_thp_golf.stats;139
pyquiz_2012-03_thp4_commented.stats;213
pyquiz_2012-03_thp4_golf.stats;286
pyquiz_2012-03_thp_golf_precomputed.stats;368
pyquiz_2012-03_thp4.stats;369
pyquiz_2012-03_thp7_golf.stats;444
pyquiz_2012-03_thp5_golf.stats;540
pyquiz_2012-03_thp6_golf.stats;540
pyquiz_2012-03_thp6_golf_py3.stats;540
pyquiz_2012-03_thp8_dict.stats;56268
pyquiz_2012-03_thp9_cute.stats;60023
